name,categories,coordinates
Taqueria El Primo,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9495671, 'longitude': -93.2790406}"
Bombay Palace,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.9776794845089, 'longitude': -93.274542283111}"
Kindee Thai Restaurant,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9780864121331, 'longitude': -93.2567782144109}"
Union Rooftop,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.97707, 'longitude': -93.2754099}"
Casper's and Runyon's Nook,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9265501, 'longitude': -93.1567051}"
China Kitchen,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.97927, 'longitude': -93.26701}"
Ted Cook's 19th Hole BBQ,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.9342346191406, 'longitude': -93.2313690185547}"
Peppers And Fries,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.94863, 'longitude': -93.21618}"
Wok in the Park,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'latitude': 44.94903, 'longitude': -93.38176}"
Amos & Amos BBQ,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'streetvendors', 'title': 'Street Vendors'}, {'alias': 'southern', 'title': 'Southern'}]","{'latitude': 45.04097, 'longitude': -93.25908}"
Maxwell's American Pub,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9745292663574, 'longitude': -93.2517776489258}"
Unleashed Hounds and Hops,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'dog_parks', 'title': 'Dog Parks'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.97994683, 'longitude': -93.28613083}"
Go Crêpe,"[{'alias': 'foodstands', 'title': 'Food Stands'}, {'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 44.97995, 'longitude': -93.28606}"
Raising Cane's Chicken Fingers,"[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 44.9789891, 'longitude': -93.2349355}"
Shoyu,"[{'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.8818452672531, 'longitude': -93.2123490318841}"
Filfillah Restaurant,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'turkish', 'title': 'Turkish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 45.0466, 'longitude': -93.24684}"
Porter Cafe,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9803943182853, 'longitude': -93.2610803470016}"
The Wienery,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.96965, 'longitude': -93.24749}"
Stanley's Northeast Bar Room,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.0133236, 'longitude': -93.26334607}"
Bull's Horn Food and Drink,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.91988, 'longitude': -93.22255}"
Rusty Taco,"[{'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'latitude': 44.9892375094369, 'longitude': -93.2524016661412}"
La Colonia Restaurant,"[{'alias': 'colombian', 'title': 'Colombian'}]","{'latitude': 45.0101724, 'longitude': -93.2471692}"
Naviya's Thai Brasserie,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.9247618, 'longitude': -93.3150145}"
Franklin Halal Market,"[{'alias': 'halal', 'title': 'Halal'}, {'alias': 'grocery', 'title': 'Grocery'}]","{'latitude': 44.962536, 'longitude': -93.252571}"
Rainbow Chinese Restaurant & Bar,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.9523822, 'longitude': -93.2777451}"
The Birdhouse Eat & Drink,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.03062, 'longitude': -93.33895}"
Cocina Latina,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.93442, 'longitude': -93.27824}"
Cecils,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.921913, 'longitude': -93.187786}"
Nightingale,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.95578, 'longitude': -93.28768}"
Normandy Kitchen Cafe & Bar,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'british', 'title': 'British'}]","{'latitude': 44.9731483459473, 'longitude': -93.2674179077148}"
Bunny's Bar & Grill NE,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9991149902344, 'longitude': -93.2717056274414}"
Tilt Pinball Bar,"[{'alias': 'arcades', 'title': 'Arcades'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]","{'latitude': 44.9551614, 'longitude': -93.2756061}"
Yard House,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.9664873925668, 'longitude': -93.3488949507898}"
Bus Stop Burgers and Brewhouse,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.976281, 'longitude': -93.260742}"
SotaRol,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]","{'latitude': 44.9122448, 'longitude': -93.3273972}"
Legendary Spice,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 44.97237, 'longitude': -93.22304}"
Dominguez Family Restaurant,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9123115539551, 'longitude': -93.2235946655273}"
Ideal Diner,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 45.00154, 'longitude': -93.24772}"
Mei Inn Chinese Foods,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.92659, 'longitude': -93.25198}"
Band Box Diner,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9690971374512, 'longitude': -93.2634582519531}"
Mexico City Cafe,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.941839, 'longitude': -93.360781}"
Hot Plate,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.90863, 'longitude': -93.25284}"
On's Thai Kitchen,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9558464, 'longitude': -93.1683905}"
Mercury Dining Room and Rail,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bars', 'title': 'Bars'}]","{'latitude': 44.97795063, 'longitude': -93.26923493}"
Zait & Za'atar,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'importedfood', 'title': 'Imported Food'}]","{'latitude': 44.946302, 'longitude': -93.168903}"
Market,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.9710215, 'longitude': -93.2771879}"
Lago Tacos - Uptown,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.949925, 'longitude': -93.28765}"
Marino's Deli,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 45.00935, 'longitude': -93.23737}"
Walkin' Dog,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}]","{'latitude': 44.9765477377285, 'longitude': -93.2690227031708}"
Joan's In the Park,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.9225875656549, 'longitude': -93.1672291465507}"
Psycho Suzi's Motor Lounge,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 45.0075263977051, 'longitude': -93.2722473144531}"
Gardens of Salonica New Greek Café & Deli,"[{'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.9896699, 'longitude': -93.2534699}"
Rinata,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.95763, 'longitude': -93.29485}"
The Red Sea,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'ethiopian', 'title': 'Ethiopian'}]","{'latitude': 44.9707628660666, 'longitude': -93.2474642202377}"
Great American Grill,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9704552, 'longitude': -93.2699432}"
Dan Kelly's Pub,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.9756542593241, 'longitude': -93.269205763936}"
Capella Tower,"[{'alias': 'collegeuniv', 'title': 'Colleges & Universities'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}, {'alias': 'sharedofficespaces', 'title': 'Shared Office Spaces'}]","{'latitude': 44.9762448272117, 'longitude': -93.2686396880362}"
Tacos Lupita,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}]","{'latitude': 44.898499, 'longitude': -93.223444}"
Our Kitchen,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 44.937556, 'longitude': -93.290202}"
Kado No Mise,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.98461797, 'longitude': -93.26751935}"
El Fuego Taqueria,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.97994, 'longitude': -93.18408}"
City Afrique,"[{'alias': 'african', 'title': 'African'}]","{'latitude': 45.0344151787612, 'longitude': -93.2878857406616}"
Bistro West,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.9710559701452, 'longitude': -93.2445659860969}"
Jasmine 26,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.9556462345352, 'longitude': -93.2775031018764}"
5th Street Station,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.983853, 'longitude': -93.2782116}"
Bap And Chicken,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'chickenshop', 'title': 'Chicken Shop'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.93992, 'longitude': -93.15632667}"
Shaws Bar & Grill,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.00401, 'longitude': -93.26351}"
Crepes Up Delicious,"[{'alias': 'creperies', 'title': 'Creperies'}]","{'latitude': 44.97727, 'longitude': -93.2687399}"
Jasmine Deli,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9562932291908, 'longitude': -93.2780600680534}"
Atrium Cafe International,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.9803245, 'longitude': -93.2897216}"
Mac's Industrial Sports Bar & Grill,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9879707, 'longitude': -93.2555515}"
Grand Catch,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.93977, 'longitude': -93.1708}"
My Burger,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 44.974231, 'longitude': -93.226822}"
Football Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 45.0120728, 'longitude': -93.2471506}"
Tony Jaros' River Garden,"[{'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.01331, 'longitude': -93.272063}"
Andrea Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.9765281677246, 'longitude': -93.2683868408203}"
Cosmos,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9787041092, 'longitude': -93.2750843213318}"
Gorditas El Durango,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.94862, 'longitude': -93.25281}"
Truce,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}, {'alias': 'vegan', 'title': 'Vegan'}]","{'latitude': 44.984254, 'longitude': -93.268833}"
Karta Thai,"[{'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9820858, 'longitude': -93.195187}"
Ruth's Chris Steak House,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]","{'latitude': 44.9730760884888, 'longitude': -93.2722395899796}"
Burrito Loco Bar & Grill,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'karaoke', 'title': 'Karaoke'}]","{'latitude': 44.98151, 'longitude': -93.23644}"
Las Tapatias,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9481315612793, 'longitude': -93.2724685668945}"
Bona Vietnamese,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.97379, 'longitude': -93.22624}"
Ariya Thai Restaurant,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 45.0417, 'longitude': -93.24766}"
Chicago Grill,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 45.01337, 'longitude': -93.29394}"
Crepe & Spoon,"[{'alias': 'creperies', 'title': 'Creperies'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]","{'latitude': 45.0102225826121, 'longitude': -93.2624539732933}"
Sammy's Avenue Eatery,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.998876, 'longitude': -93.294335}"
RH Rooftop Restaurant Minneapolis,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.8802477, 'longitude': -93.3286951}"
Yangtze,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 44.969406018714, 'longitude': -93.351224860649}"
Hamburguesas El Gordo,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}]","{'latitude': 44.92712, 'longitude': -93.24694}"
Don Goyo Mexican and Salvadorian restaurant,"[{'alias': 'salvadoran', 'title': 'Salvadoran'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 45.03630733, 'longitude': -93.22818167}"
Porchetteria,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.91216, 'longitude': -93.308448}"
Taqueria Los  Sanchez,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.8849589773772, 'longitude': -93.2790894444444}"
Soberfish,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'thai', 'title': 'Thai'}]","{'latitude': 44.9628564756128, 'longitude': -93.2328816130757}"
Eli's East Food & Cocktails,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.9912757873535, 'longitude': -93.2475662231445}"
Flameburger,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 45.055667, 'longitude': -93.248137}"
Sambusa King,"[{'alias': 'african', 'title': 'African'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.92683, 'longitude': -93.38691}"
The Melting Pot,"[{'alias': 'fondue', 'title': 'Fondue'}]","{'latitude': 44.9748328, 'longitude': -93.2731809}"
Dave The Pie Guy,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 44.93798, 'longitude': -93.28469}"
Phal's Best Steak & Gyros,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9758607291183, 'longitude': -93.2604108656404}"
Abi's Cafe,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'salvadoran', 'title': 'Salvadoran'}, {'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.94865, 'longitude': -93.25215}"
Surdyk's Sidebar,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'cheese', 'title': 'Cheese Shops'}]","{'latitude': 44.988485, 'longitude': -93.255899}"
The Loop - Minneapolis,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.98744, 'longitude': -93.27588}"
The Chewery,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9773422989428, 'longitude': -93.2654976156041}"
Firebox Deli,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 44.948766, 'longitude': -93.167624}"
Red Cow Uptown,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9546701713065, 'longitude': -93.2974524074069}"
Patty Wagon,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.8926467895508, 'longitude': -93.2785034179688}"
Huie's Chow Mein,"[{'alias': 'cantonese', 'title': 'Cantonese'}, {'alias': 'szechuan', 'title': 'Szechuan'}]","{'latitude': 44.90549, 'longitude': -93.26302}"
So Good Asian,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 44.977079, 'longitude': -93.268036}"
Elsie's Restaurant Bar & Bowling Center,"[{'alias': 'bowling', 'title': 'Bowling'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'karaoke', 'title': 'Karaoke'}]","{'latitude': 44.995, 'longitude': -93.266}"
Casa Maria,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.91242, 'longitude': -93.222643}"
Green + The Grain,"[{'alias': 'salad', 'title': 'Salad'}]","{'latitude': 44.97687, 'longitude': -93.26759}"
El Burrito Cubano,"[{'alias': 'cuban', 'title': 'Cuban'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 45.041130065918, 'longitude': -93.2870864868164}"
Bacon Social House,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}]","{'latitude': 44.97679093, 'longitude': -93.25898072}"
Gluek's Restaurant & Bar,"[{'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'german', 'title': 'German'}, {'alias': 'pubs', 'title': 'Pubs'}]","{'latitude': 44.979306, 'longitude': -93.274182}"
Rock Bottom Restaurant & Brewery,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9764446, 'longitude': -93.2765934}"
Mesa Pizza,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9808327904414, 'longitude': -93.2361996284807}"
Master Noodle,"[{'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 44.866012, 'longitude': -93.326576}"
Amore Uptown,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.94808, 'longitude': -93.30247}"
"Inspirations Cafe, HCMC","[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 44.972264, 'longitude': -93.262456}"
Devil's Advocate,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 44.9733883904789, 'longitude': -93.2755727934486}"
Tracy's Saloon,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]","{'latitude': 44.9625282, 'longitude': -93.2405014}"
Loring Bar & Restaurant,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 44.9804, 'longitude': -93.23614}"
Marhaba Mediterranean Grill,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 44.9516448974609, 'longitude': -93.2775192260742}"
Origami Uptown,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.9495944043969, 'longitude': -93.2973022227539}"
Manny's Tortas,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.9484849, 'longitude': -93.2610135}"
Café Finspang,"[{'alias': 'scandinavian', 'title': 'Scandinavian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}]","{'latitude': 44.9486648349126, 'longitude': -93.2605975474363}"
Kadai Indian Kitchen,"[{'alias': 'indpak', 'title': 'Indian'}]","{'latitude': 44.9768333435059, 'longitude': -93.2699584960938}"
Pineda Tacos,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9485149, 'longitude': -93.2411593}"
The Depot Tavern,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.978431, 'longitude': -93.275732}"
Pappy's Chicago Style,"[{'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 44.99939, 'longitude': -93.28153}"
Dave's Downtown,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 44.9737496, 'longitude': -93.2713975}"
Los Ocampo Express,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 44.9775374446656, 'longitude': -93.2731642366964}"
Black Sheep Pizza - Minneapolis,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'italian', 'title': 'Italian'}]","{'latitude': 44.95582, 'longitude': -93.2784}"
Lindey's Prime Steak House,"[{'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 45.05028, 'longitude': -93.163709}"
Dong Hae Korean Grill and Sushi,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}]","{'latitude': 44.9820849417602, 'longitude': -93.2710450882386}"
Convention Grill,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 44.9218233, 'longitude': -93.329575}"
Greek Grill,"[{'alias': 'greek', 'title': 'Greek'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]","{'latitude': 44.9763793945312, 'longitude': -93.2701568603516}"
New York Gyro,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'greek', 'title': 'Greek'}]","{'latitude': 44.949151, 'longitude': -93.283917}"
Punch Neapolitan Pizza - Lake Street,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 44.9494437, 'longitude': -93.3204375}"
8th Street Grill & Taphouse,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 44.97528, 'longitude': -93.2720499}"
Saigon Uptown Restaurant,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'latitude': 44.9471817, 'longitude': -93.2876816}"
Panaderia Ecuatoriana,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'gourmet', 'title': 'Specialty Food'}]","{'latitude': 45.01255, 'longitude': -93.24693}"
Tibet Kitchen Bar & Restaurant,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 44.964241, 'longitude': -93.2775192}"
